    ENTRY#        PC    TARGET      PRED      BUSY
         0    422000    420ca0         0         1
         1    402004    400200         0         1
         2    408008    408028         0         1
         4    404010    40400c         1         1
         5    40a014    416dd0         0         1
         7    40601c    405f80         0         1
         8    402020    400200         0         1
         9    417024    416ff4         1         1
        11    41302c    428c50         0         1
        12    419030    41903c         0         1
        13    403034    403000         1         1
        14    401038    401004         1         1
        15    40203c    400200         0         1
        16    403040    400200         0         1
        17    405044    416dd0         0         1
        19    41904c    419064         0         1
        22    404058    4206c0         0         1
        23    42305c    4230a8         0         1
        26    419068    419080         0         1
        27    40406c    421c10         0         1
        28    402070    40203c         1         1
        29    404074    422260         0         1
        30    401078    401044         1         1
        31    40207c    400200         0         1
        32    405080    416dd0         0         1
        33    401084    400200         0         1
        35    40808c    4080a0         0         1
        36    417090    417208         0         1
        41    4070a4    407120         0         1
        44    4020b0    40207c         1         1
        45    4030b4    403080         1         1
        46    4010b8    401084         1         1
        47    4050bc    405104         0         1
        48    4230c0    42b900         0         1
        49    4010c4    400200         0         1
        52    4040d0    421c10         0         1
        54    4190d8    419110         0         1
        55    4150dc    4150ec         0         1
        59    42b0ec    42b0fc         0         1
        60    4040f0    421c10         0         1
        61    4230f4    4230fc         0         1
        62    40a0f8    40a108         0         1
        64    404100    4040c4         1         1
        65    401104    400200         0         1
        66    423108    422fec         0         1
        67    42210c    421c00         0         1
        70    404118    4206c0         0         1
        72    402120    4020ec         1         1
        73    408124    418710         0         1
        74    42b128    42b138         0         1
        75    41912c    419168         0         1
        76    42b130    42dd80         0         1
        77    405134    416dd0         0         1
        78    407138    406f3c         1         1
        79    40113c    400200         0         1
        80    407140    4093b4         0         1
        83    40614c    416dd0         0         1
        86    401158    400200         0         1
        88    413160    4132ec         0         1
        89    422164    422170         0         1
        90    407168    4002d0         0         1
        91    40216c    400200         0         1
        93    422174    421c78         0         1
        95    42217c    421c78         0         1
        96    421180    4211cc         3         1
        97    405184    40518c         0         1
        98    406188    40619c         0         1
        99    42218c    421c78         0         1
       100    405190    4052a4         3         1
       101    422194    421c78         0         1
       102    404198    421c10         0         1
       103    42219c    421c78         0         1
       104    4191a0    419990         0         1
       105    4201a4    41f950         0         1
       107    4021ac    400200         0         1
       108    4041b0    422260         0         1
       109    4261b4    426b50         0         1
       110    42e1b8    42bc88         0         1
       113    4221c4    4221ec         1         1
       114    4051c8    4051ec         0         1
       116    4081d0    4081b8         3         1
       118    4031d8    400200         0         1
       119    4151dc    4151ec         0         1
       121    42b1e4    420a5c         0         1
       123    4221ec    4221c0         0         1
       128    400200    400420         0         1
       129    408204    408308         0         1
       130    405208    405224         0         1
       131    40320c    4031d8         1         1
       132    401210    400200         0         1
       133    420214    42022c         0         1
       134    42b218    42b228         0         1
       136    400220    4206c0         0         1
       137    419224    41923c         0         1
       138    421228    4219b4         0         1
       139    40222c    400200         0         1
       140    420230    420240         0         1
       141    421234    4221a8         0         1
       144    421240    42124c         0         1
       145    406244    428c50         0         1
       147    40a24c    40a134         1         1
       148    405250    40525c         0         1
       149    401254    400200         0         1
       150    422258    421238         0         1
       151    42025c    420270         2         1
       152    402260    40222c         1         1
       153    42c264    42c274         0         1
       154    400268    421c10         0         1
       155    40526c    4052a4         0         1
       156    417270    417334         0         1
       158    400278    403510         0         1
       159    40427c    4206c0         0         1
       161    406284    406298         0         1
       162    401288    400200         0         1
       163    40028c    422434         0         1
       164    422290    4222ec         0         1
       165    406294    406230         0         1
       166    404298    422260         0         1
       168    4002a0    4225dc         0         1
       169    4042a4    4206c0         0         1
       170    4002a8    422434         0         1
       171    4202ac    41f98c         0         1
       172    4002b0    405ab8         0         1
       173    4062b4    406370         0         1
       174    4012b8    400200         0         1
       175    4002bc    4225dc         0         1
       176    42b2c0    42b2d0         0         1
       177    4002c4    422434         0         1
       179    4002cc    406cf0         0         1
